Ligand,stage1,stage2,stage3
fda_0507.pdbqt,-7.72,-7.60 (invalid),
fda_0508.pdbqt,-6.26,,
fda_0509.pdbqt,-6.93,,
fda_0510.pdbqt,-5.71,,
fda_0511.pdbqt,-3.99 (invalid),,
fda_0512.pdbqt,-4.98,,
fda_0513.pdbqt,-6.22,,
fda_0514.pdbqt,3.68,,
fda_0515.pdbqt,3.42,,
fda_0516.pdbqt,2.59 (invalid),,
fda_0517.pdbqt,12.96 (invalid),,
fda_0518.pdbqt,-2.59,,
fda_0519.pdbqt,-0.72 (invalid),,
fda_0520.pdbqt,3.29 (invalid),,
fda_0521.pdbqt,7.52 (invalid),,
fda_0522.pdbqt,-5.69,,
fda_0523.pdbqt,-5.38,,
fda_0524.pdbqt,-6.32,,
fda_0525.pdbqt,-5.16,,
fda_0526.pdbqt,10.79 (invalid),,
fda_0527.pdbqt,2.36 (invalid),,
fda_0528.pdbqt,8.69 (invalid),,
fda_0529.pdbqt,16.70,,
fda_0530.pdbqt,-6.08,,
fda_0531.pdbqt,-5.62 (invalid),,
fda_0532.pdbqt,-6.16,,
fda_0533.pdbqt,-5.51,,
fda_0534.pdbqt,0.64,,
fda_0535.pdbqt,-2.23,,
fda_0536.pdbqt,1.58 (invalid),,
fda_0537.pdbqt,0.74 (invalid),,
fda_0538.pdbqt,-0.41 (invalid),,
fda_0539.pdbqt,-2.65,,
fda_0540.pdbqt,-4.08 (invalid),,
fda_0541.pdbqt,-3.98,,
fda_0542.pdbqt,-5.80,,
fda_0543.pdbqt,-5.87 (invalid),,
fda_0544.pdbqt,-5.59 (invalid),,
fda_0545.pdbqt,-5.84 (invalid),,
fda_0546.pdbqt,-5.61 (invalid),,
fda_0547.pdbqt,-6.06 (invalid),,
fda_0548.pdbqt,-6.22,,
fda_0549.pdbqt,-6.64,,
fda_0550.pdbqt,-5.39,,
fda_0551.pdbqt,-4.95 (invalid),,
fda_0552.pdbqt,-4.94 (invalid),,
fda_0553.pdbqt,-4.97 (invalid),,
fda_0554.pdbqt,-3.79,,
fda_0555.pdbqt,-3.04,,
fda_0556.pdbqt,-4.05,,
fda_0557.pdbqt,-8.06,-8.08,
fda_0558.pdbqt,-2.87 (invalid),,
fda_0559.pdbqt,-4.33,,
fda_0560.pdbqt,-1.86,,
fda_0561.pdbqt,-2.99,,
fda_0562.pdbqt,-5.09,,
fda_0563.pdbqt,-5.52,,
fda_0564.pdbqt,-6.30 (invalid),,
fda_0565.pdbqt,-5.53,,
fda_0566.pdbqt,-5.42 (invalid),,
fda_0567.pdbqt,-5.85 (invalid),,
fda_0568.pdbqt,-5.65 (invalid),,
fda_0569.pdbqt,-5.68,,
fda_0570.pdbqt,-6.14 (invalid),,
fda_0571.pdbqt,-6.50,,
fda_0572.pdbqt,-1.57,,
fda_0573.pdbqt,-5.46 (invalid),,
fda_0574.pdbqt,-5.37 (invalid),,
fda_0575.pdbqt,11.70 (invalid),,
fda_0576.pdbqt,-6.93 (invalid),,
fda_0577.pdbqt,-6.50 (invalid),,
fda_0578.pdbqt,5.85 (invalid),,
