severity,file_num,rdk_id,display_name,reason_codes,pubchem_record_title,rxnorm_generic_name,drugcentral_generic_name,sdf_title,inchikey,path
review,3476,rdk_0003476,zydena,brand_display_with_clean_pubchem_title,Udenafil,,,fda_6657,IYFNEFQTYQPVOC-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003476.pdbqt
review,3477,rdk_0003477,no spa,brand_display_with_clean_pubchem_title,DROTAVERINE HYDROCHLORIDE,,,fda_6658,JBFLYOLJRKJYNV-MASIZSFYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003477.pdbqt
review,3478,rdk_0003478,vardenafil,brand_display_with_clean_pubchem_title,Vardenafil hydrochloride trihydrate,vardenafil,,fda_6659,FBCDRHDULQYRTB-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003478.pdbqt
review,3480,rdk_0003480,eucrisa,brand_display_with_clean_pubchem_title,Crisaborole,crisaborole,,fda_6661,USZAGAREISWJDP-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003480.pdbqt
review,3481,rdk_0003481,xagrid,brand_display_with_clean_pubchem_title,ANAGRELIDE HYDROCHLORIDE,,,fda_6662,TVWRQCIPWUCNMI-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003481.pdbqt
review,3482,rdk_0003482,attia,brand_display_with_clean_pubchem_title,dipyridamole,,,fda_6663,IZEKFCXSFNUWAM-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003482.pdbqt
review,3484,rdk_0003484,otezla,brand_display_with_clean_pubchem_title,Apremilast,apremilast,,fda_6665,IMOZEMNVLZVGJZ-QGZVFWFLSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003484.pdbqt
review,3485,rdk_0003485,perfan,brand_display_with_clean_pubchem_title,ENOXIMONE,enoximone,,fda_6666,ZJKNESGOIKRXQY-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003485.pdbqt
review,3486,rdk_0003486,ethyl apovincaminate,raw_quality_iupac_like,Ethyl eburnamenine-14-carboxylate,vinpocetine,,fda_6667,DDNCQMVWWZOMLN-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003486.pdbqt
review,3487,rdk_0003487,loprinone,brand_display_with_clean_pubchem_title,Olprinone,,,fda_6668,JPAWFIIYTJQOKW-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003487.pdbqt
