Ligand,stage1,stage2,stage3
fda_0370.pdbqt,-6.83,,
fda_0371.pdbqt,-6.72,,
fda_0372.pdbqt,-6.96,,
fda_0373.pdbqt,-6.88,,
fda_0374.pdbqt,-5.95,,
fda_0375.pdbqt,-6.00,,
fda_0376.pdbqt,-6.01,,
fda_0377.pdbqt,-6.02,,
fda_0378.pdbqt,-6.76,,
fda_0379.pdbqt,-6.94,,
fda_0380.pdbqt,-7.06,,
fda_0381.pdbqt,-6.85,,
fda_0382.pdbqt,-6.42,,
fda_0383.pdbqt,-6.70,,
fda_0384.pdbqt,-6.91,,
fda_0385.pdbqt,-6.20,,
fda_0386.pdbqt,-6.19,,
fda_0387.pdbqt,-6.31,,
fda_0388.pdbqt,-6.13,,
fda_0389.pdbqt,-6.51,,
fda_0390.pdbqt,-6.55,,
fda_0391.pdbqt,-6.33,,
fda_0392.pdbqt,-6.25,,
fda_0393.pdbqt,-6.91,,
fda_0394.pdbqt,-6.56,,
fda_0395.pdbqt,-6.95,,
fda_0396.pdbqt,-6.73 (invalid),,
fda_0397.pdbqt,-6.57,,
fda_0398.pdbqt,-5.50,,
fda_0399.pdbqt,-5.79,,
fda_0400.pdbqt,-5.30,,
fda_0401.pdbqt,-5.18,,
fda_0402.pdbqt,-6.21,,
fda_0403.pdbqt,-6.08,,
fda_0404.pdbqt,-6.20,,
fda_0405.pdbqt,-6.23,,
fda_0406.pdbqt,-6.73,,
fda_0407.pdbqt,-4.73,,
fda_0408.pdbqt,-4.63 (invalid),,
fda_0409.pdbqt,-4.48,,
fda_0410.pdbqt,-7.92,,
fda_0411.pdbqt,-7.63,,
fda_0412.pdbqt,-8.21,,
fda_0413.pdbqt,-7.81,,
fda_0414.pdbqt,-7.48,,
fda_0415.pdbqt,-7.85,,
fda_0416.pdbqt,-7.73,,
fda_0417.pdbqt,-7.43,,
fda_0418.pdbqt,-6.28,,
fda_0419.pdbqt,-6.12,,
fda_0420.pdbqt,-6.16 (invalid),,
fda_0421.pdbqt,-6.49,,
fda_0422.pdbqt,-6.12 (invalid),,
fda_0423.pdbqt,-6.80,,
fda_0424.pdbqt,-8.01,,
fda_0425.pdbqt,-8.42,,
fda_0426.pdbqt,-8.47,,
fda_0427.pdbqt,-7.72,,
fda_0428.pdbqt,-7.79,,
fda_0429.pdbqt,-7.88,,
fda_0430.pdbqt,-7.75,,
fda_0431.pdbqt,-7.90,,
fda_0432.pdbqt,-7.21,,
fda_0433.pdbqt,-7.02,,
fda_0434.pdbqt,-7.70,,
fda_0435.pdbqt,-6.06 (invalid),,
fda_0436.pdbqt,-7.16,,
fda_0437.pdbqt,-6.82 (invalid),,
fda_0438.pdbqt,-7.22,,
fda_0439.pdbqt,-7.04 (invalid),,
fda_0440.pdbqt,-4.73,,
fda_0441.pdbqt,-4.85,,
fda_0442.pdbqt,-7.00,,
fda_0443.pdbqt,-7.01,,
fda_0444.pdbqt,-7.30,,
fda_0445.pdbqt,-7.34,,
fda_0446.pdbqt,-6.35,,
fda_0447.pdbqt,-6.59,,
fda_0448.pdbqt,-7.18 (invalid),,
fda_0449.pdbqt,-6.06,,
fda_0450.pdbqt,-6.42,,
fda_0451.pdbqt,-7.73,,
fda_0452.pdbqt,-7.63,,
fda_0453.pdbqt,-7.65,,
fda_0454.pdbqt,-7.62,,
fda_0455.pdbqt,-6.94,,
fda_0456.pdbqt,-7.28,,
fda_0457.pdbqt,-7.66,,
fda_0458.pdbqt,-7.46,,
fda_0459.pdbqt,-8.67,-8.66,
fda_0460.pdbqt,-7.76,,
fda_0461.pdbqt,-6.91,,
fda_0462.pdbqt,-7.69,,
